«Альбер»	Невский проспект, 18. IN: Петерубрг		Петербург Невский проспект 18
«Большой Каприз»	IN: Пушкин		IN: Пушкин
«Дом Cоветов». Гостиница. Алма-Ата. Красноармейская улица	Алма-Ата		Упрощаем эти безумные зальцмановские локации до Алма-Аты?
«Дом Советов». Гостиница. Алма-Ата	Алма-Ата		
Aber’ Wrach. Finistere	Абер-Врах. Финистер	Правильно Aber Wrac'h	
Albeck	Альбек		
Assern	Асари		
Bad Nauheim	Бад-Наухайм		
Berner Oberland	Бернское высокогорье		
Binz a Rugen	Бинц, Рюген	Правильно Rügen. Восстановить диакритику. Буква "а" это на каком языке? Проверить	
Brienz	Бриенц		
Brunigbahn. Schweiz	Брюнигская железная дорога, Швейцария	Правильно Brünigbahn. Восстановить диакритику	
Carmel. N.Y	Кармел, штат Нью-Йорк		
Causway	Козуэй (Дорога гигантов)	Правильно Causeway	
Chateau de Gressy	Шато-де-Гресси	Кажется, это не реальный замок	
Eisenach	Айзенах		
Foligno	Фолиньо		
God’s acre	CHECK, UNKNOWN	Это вообще не топоним. Так по-английски называются кладбища немецких протестантов. Вне контекста не могу установить, какое это место	
Holywood	Холивуд, Северная Ирландия	(У Ходасевича)	
Imatra	Иматра		
Inselsberg	Инзельсберг		
Jura	Юра		
Kolpinsee	озеро Кельпин	Правильно Kölpinsee, восстановить диакритику	
Lauterbrunnen	Лаутербруннен		
Luzern	Люцерн		
Majorenhof	Майори		
Mallorca. Valdemosa	Майорка. Вальдемоса		
Meudon	Медон		
Misdroy	Мендзыздрое		
Montenvers	Монтанвер		
Noordwijk-aan-Zee	Нордвейк		
Nynashamn	Нюнесхамн	Правильно Nynäshamn, восстановить диакритику	
Pallanza	Палланца		
Porto Venere. Spezia	Портовенере. Специя		
Quimper	Кемпер		
Rauha	Рауха		
Roma. Spezia	Рим. Специя		
Saarow	Бад-Заров		
Saint Jean de Luz	Сен-Жан-де-Люз		
Santa Margherita	Санта-Маргерита-Лигуре	Если это не площадь в Венеции или какой-то другой такой объект	
Scheveningen	Схевенинген		
Schwarzathal. Thuringen	Долина реки Шварца, Тюрингия	Правильно Thüringen, восстановить диакритику	
Schwarzburg	Шварцбург	Это там же, кстати	
Scloss Himmel. Вена	Замок Химмель	Кроме Жемчужникова не отыскивается. Не придумал ли он этот "небесный замок"	
Segewold	Сигулда		
Settignano	Сеттиньяно		
Siebenmuhlenthal	Зибенмуленталь		
Sillamaggi. Estl. 	Силламяэ. IN: Эстония		
Spoleto	Сполето		
Strand	Стрэнд	Если это улица в Лондоне, а не что-то еще	
Toila	Тойла		
Wiborg	Выборг	А у кого это? Выборг по-шведски действительно так	
Zuoz. Швейцария	Цуоц. Швейцария		
Аджи-Мушкайские каменоломни	Аджимушкайские каменоломни		Аджимушкайские каменоломни
